"";"Ref";"Event";"C_Corr";"C_Prev";"Date";"Category";"Cat1";"Cat2";"Cat3"
"1";"ABBOTT COLUMBUS 30503005";FALSE;0;0;"29/12/2006";"ABBOTT COLUMBUS";"ABBOTT";"COLUMBUS";"30503005"
"2";"ABBOTT COLUMBUS 30503005";FALSE;0;0;"29/12/2006";"ABBOTT COLUMBUS";"ABBOTT";"COLUMBUS";"30503005"
"3";"BIOSYSTEMS BTS-310 801031285";TRUE;0;0;"29/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031285"
"4";"BIOSYSTEMS A-25 831010279";TRUE;0;0;"28/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010279"
"5";"ABBOTT SUNRISE 50530U";TRUE;0;0;"28/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"50530U"
"6";"ABBOTT IMX 19269";TRUE;0;0;"28/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"19269"
"7";"BIOSYSTEMS BTS-310 801033099";FALSE;0;0;"28/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801033099"
"8";"BIOSYSTEMS A-15 831050135";TRUE;0;0;"28/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050135"
"9";"ARKRAY AUTION MINI 308015";FALSE;0;0;"27/12/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"308015"
"10";"BIOSYSTEMS BTS-370 830050538";TRUE;0;0;"27/12/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050538"
"11";"ABBOTT IMX 19269";TRUE;0;0;"27/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"19269"
"12";"BIOSYSTEMS A-25 831010521";TRUE;0;0;"27/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010521"
"13";"ABBOTT AXSYM 11842";TRUE;0;0;"26/12/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"11842"
"14";"BIOSYSTEMS A-15 831050124";TRUE;0;0;"26/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050124"
"15";"DIATRON ABACUS JR 110624";TRUE;0;0;"22/12/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110624"
"16";"ABBOTT AXSYM 24695";TRUE;0;0;"22/12/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"24695"
"17";"BIOSYSTEMS BTS-310 801035220";FALSE;0;0;"22/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801035220"
"18";"DIATRON ABACUS JR 110773";TRUE;0;0;"21/12/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110773"
"19";"BIOSYSTEMS BTS-370 830050435";TRUE;0;0;"21/12/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050435"
"20";"BIOSYSTEMS A-25 831011427";FALSE;0;0;"21/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011427"
"21";"BIOSYSTEMS A-25 831011086";FALSE;0;0;"21/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011086"
"22";"BIOSYSTEMS A-25 831010512";TRUE;0;0;"21/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010512"
"23";"ABBOTT i2000sr isr01976";FALSE;0;0;"20/12/2006";"ABBOTT i2000sr";"ABBOTT";"i2000sr";"isr01976"
"24";"BIOSYSTEMS A-25 831011132";FALSE;0;0;"20/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011132"
"25";"DIATRON ABACUS 803184";TRUE;0;0;"20/12/2006";"DIATRON ABACUS";"DIATRON";"ABACUS";"803184"
"26";"ABBOTT IMX 19269";TRUE;0;0;"20/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"19269"
"27";"ABBOTT i2000sr isr01976";FALSE;0;0;"19/12/2006";"ABBOTT i2000sr";"ABBOTT";"i2000sr";"isr01976"
"28";"ABBOTT i2000sr isr01976";FALSE;0;0;"19/12/2006";"ABBOTT i2000sr";"ABBOTT";"i2000sr";"isr01976"
"29";"DIATRON ABACUS 802113";FALSE;0;0;"19/12/2006";"DIATRON ABACUS";"DIATRON";"ABACUS";"802113"
"30";"BIOSYSTEMS A-25 831011430";TRUE;0;0;"19/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011430"
"31";"ABBOTT i2000sr isr01976";FALSE;0;0;"18/12/2006";"ABBOTT i2000sr";"ABBOTT";"i2000sr";"isr01976"
"32";"BIOSYSTEMS BTS-330 801342154";TRUE;0;0;"18/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801342154"
"33";"BIOSYSTEMS BTS-330 801340648";TRUE;0;0;"18/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340648"
"34";"BIOSYSTEMS A-25 831011205";TRUE;0;0;"18/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011205"
"35";"ARKRAY AUTION MINI 306016";FALSE;0;0;"18/12/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"306016"
"36";"ABBOTT IMX 19269";TRUE;0;0;"17/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"19269"
"37";"BIOSYSTEMS BTS-330 801340406";FALSE;0;0;"16/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340406"
"38";"BIOSYSTEMS BTS-330 801340849";TRUE;0;0;"15/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340849"
"39";"ABBOTT SUNRISE 20362AY";TRUE;0;0;"15/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"20362AY"
"40";"DIATRON ABACUS JR 110269";FALSE;0;0;"15/12/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110269"
"41";"BIOSYSTEMS A-25 831011205";TRUE;0;0;"15/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011205"
"42";"BIOSYSTEMS A-25 831010495";TRUE;0;0;"14/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010495"
"43";"BIOSYSTEMS BTS-330 801340177";FALSE;0;0;"14/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340177"
"44";"BIOSYSTEMS BTS-310 801031206";FALSE;0;0;"14/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031206"
