"";"Cat1";"Cat2";"shape";"scale"
"1";"VOLV";"CLO-";0,483177061794683;1225,53621639309
"2";"MERC";"CLO-";4,35618145700468;1109,44822404013
"3";"GMC-";"CLO-";0,439578531665175;2035,89618262782
"4";"VOLV";"BOG-";0,475061452491602;1698,92485364016
"5";"MERC";"BOG-";4,28301352426578;1537,99548021203
"6";"GMC-";"BOG-";0,432195218376739;2822,30306851097
"7";"VOLV";"BQA-";0,352290231012835;1680,47211803506
"8";"MERC";"BQA-";3,17614450926507;1521,29066604831
"9";"GMC-";"BQA-";0,320502016162374;2791,64885081021
"10";"VOLV";"MED-";0,478124622656575;859,188808545648
"11";"MERC";"MED-";4,31063016033443;777,802797669738
"12";"GMC-";"MED-";0,434981989417479;1427,30928068597
"13";"VOLV";"CLO-";0,5460195078872;1294,69382636839
"14";"MERC";"CLO-";4,92275036109179;1172,05493165076
"15";"GMC-";"CLO-";0,496750513457919;2150,78280308426
"16";"VOLV";"BOG-";0,536848375090843;1794,79601667375
"17";"MERC";"BOG-";4,84006614077962;1624,78531974637
"18";"GMC-";"BOG-";0,488406919758841;2981,56701537222
"19";"VOLV";"BQA-";0,398109417397871;1775,301984145
"20";"MERC";"BQA-";3,58923673960432;1607,13784472351
"21";"GMC-";"BQA-";0,362186798545081;2949,18296512675
"22";"VOLV";"MED-";0,540309943940657;907,673254555266
"23";"MERC";"MED-";4,87127462153757;821,694591155249
"24";"GMC-";"MED-";0,491556140764092;1507,85304367514
"25";"VOLV";"CLO-";0,493336925993801;1146,60816903365
"26";"MERC";"CLO-";4,44777978716029;1037,9965763462
"27";"GMC-";"CLO-";0,448821640537061;1904,77862920759
"28";"VOLV";"BOG-";0,485050668092242;1589,50922029161
"29";"MERC";"BOG-";4,37307333713831;1438,9441600821
"30";"GMC-";"BOG-";0,441283076790187;2640,53865610566
"31";"VOLV";"BQA-";0,359697910699598;1572,24489378472
"32";"MERC";"BQA-";3,24292995800108;1423,31518386246
"33";"GMC-";"BQA-";0,327241278468532;2611,85865794578
"34";"VOLV";"MED-";0,488178248171003;803,85458499151
"35";"MERC";"MED-";4,40127067393611;727,710066643429
"36";"GMC-";"MED-";0,444128445843057;1335,38646927033
"37";"VOLV";"CLO-";0,471529482575038;1335,97370540172
"38";"MERC";"CLO-";4,25117032831586;1209,42460532463
"39";"GMC-";"CLO-";0,42898194880628;2219,35813118891
"40";"VOLV";"BOG-";0,463609510047268;1852,02110027951
"41";"MERC";"BOG-";4,17976619887041;1676,58980053423
"42";"GMC-";"BOG-";0,421776619394212;3076,6309781545
"43";"VOLV";"BQA-";0,343797840337691;1831,90552210941
"44";"MERC";"BQA-";3,09957962713408;1658,3796553114
"45";"GMC-";"BQA-";0,31277591962658;3043,21439832597
"46";"VOLV";"MED-";0,466598838716067;936,613411205993
"47";"MERC";"MED-";4,20671710185315;847,893413328036
"48";"GMC-";"MED-";0,424496211880689;1555,92926832012
"49";"VOLV";"CLO-";0,520423646128911;1357,59617371585
"50";"MERC";"CLO-";4,69198564317789;1228,99890166088
"51";"GMC-";"CLO-";0,473464243851861;2255,27800047625
"52";"VOLV";"BOG-";0,511682430293086;1881,99569289012
"53";"MERC";"BOG-";4,61317742700501;1703,72507250199
"54";"GMC-";"BOG-";0,465511774403482;3126,42563771289
"55";"VOLV";"BQA-";0,379447165472444;1861,55454809409
"56";"MERC";"BQA-";3,42098339686174;1685,22019970594
"57";"GMC-";"BQA-";0,34520849815045;3092,46821719596
"58";"VOLV";"MED-";0,514981730512445;951,77231270571
"59";"MERC";"MED-";4,64292294179265;861,616399333915
"60";"GMC-";"MED-";0,468513368768416;1581,11167360793
"61";"VOLV";"CLO-";0,548268069983471;1130,8852631188
"62";"MERC";"CLO-";4,94302273178818;1023,76301081737
"63";"GMC-";"CLO-";0,49879618098395;1878,65928348473
"64";"VOLV";"BOG-";0,539059169559239;1567,71301772096
"65";"MERC";"BOG-";4,85999800971542;1419,21258633555
"66";"GMC-";"BOG-";0,490418227544483;2604,33017445019
"67";"VOLV";"BQA-";0,399748871177816;1550,6854289146
"68";"MERC";"BQA-";3,60401756990551;1403,79792301659
"69";"GMC-";"BQA-";0,363678319443536;2576,04345180054
"70";"VOLV";"MED-";0,542534993490414;792,831699972566
"71";"MERC";"MED-";4,89133501007002;717,731316081444
"72";"GMC-";"MED-";0,493580417351915;1317,07493409786
