"";"Ref";"Event";"C_Corr";"C_Prev";"Date";"Category";"Cat1";"Cat2";"Cat3"
"3160";"VOLVBOG-105";TRUE;3389,61362998706;103,96636306455;2025-05-04 10:58:55;"VOLVBOG-";"VOLV";"BOG-";"105"
"963";"MERCBQA-101";TRUE;3047,01942053714;100,747960505768;2017-10-29 14:14:44;"MERCBQA-";"MERC";"BQA-";"101"
"2074";"GMC-BOG-103";TRUE;3018,94046746395;100,155180440231;2019-09-27 06:21:37;"GMC-BOG-";"GMC-";"BOG-";"103"
"1268";"MERCCLO-102";TRUE;2885,86166586373;91,4322323153191;2026-07-03 01:06:18;"MERCCLO-";"MERC";"CLO-";"102"
"763";"VOLVBOG-101";TRUE;3047,01942053714;100,747960505768;2016-01-01 06:42:15;"VOLVBOG-";"VOLV";"BOG-";"101"
"2325";"MERCMED-103";TRUE;3175,86565164881;102,417528115128;2020-10-05 05:02:12;"MERCMED-";"MERC";"MED-";"103"
"3084";"MERCCLO-105";TRUE;2880,24426263342;123,500476235491;2024-02-07 15:29:34;"MERCCLO-";"MERC";"CLO-";"105"
"1253";"MERCCLO-102";TRUE;3556,37883474677;87,2620945733379;2024-07-02 06:42:44;"MERCCLO-";"MERC";"CLO-";"102"
"1148";"MERCMED-101";TRUE;2981,96983111694;110,211835682594;2022-11-22 03:32:31;"MERCMED-";"MERC";"MED-";"101"
"881";"GMC-BOG-101";TRUE;2294,21829086763;105,881499047367;2032-09-13 04:59:44;"GMC-BOG-";"GMC-";"BOG-";"101"
"3462";"VOLVMED-105";TRUE;3451,28804359749;114,243662319301;2016-03-31 11:39:16;"VOLVMED-";"VOLV";"MED-";"105"
"364";"MERCBQA-100";TRUE;2985,13266902311;100,666825559609;2020-07-19 01:33:49;"MERCBQA-";"MERC";"BQA-";"100"
"1542";"VOLVBQA-102";TRUE;2760,77058612943;107,530164956805;2015-12-29 18:42:21;"VOLVBQA-";"VOLV";"BQA-";"102"
"1507";"VOLVBQA-102";TRUE;3167,77603086998;91,5650485499193;2017-05-07 05:58:18;"VOLVBQA-";"VOLV";"BQA-";"102"
"2618";"MERCBOG-104";TRUE;2885,86166586373;91,4322323153191;2026-12-23 04:20:42;"MERCBOG-";"MERC";"BOG-";"104"
"921";"VOLVBQA-101";TRUE;3219,08347909678;106,834966233786;2016-01-09 12:02:40;"VOLVBQA-";"VOLV";"BQA-";"101"
"3108";"GMC-CLO-105";TRUE;3868,47248096296;112,453942383267;2039-08-02 05:15:53;"GMC-CLO-";"GMC-";"CLO-";"105"
"3393";"MERCBQA-105";TRUE;4098,9097085664;98,0963154669283;2017-12-21 16:56:57;"MERCBQA-";"MERC";"BQA-";"105"
"945";"VOLVBQA-101";TRUE;2848,80441607821;96,7881976351315;2016-06-18 06:39:24;"VOLVBQA-";"VOLV";"BQA-";"101"
"1141";"MERCMED-101";TRUE;2862,85957673811;79,9789367432566;2019-12-16 04:08:17;"MERCMED-";"MERC";"MED-";"101"
"1606";"GMC-BQA-102";TRUE;3468,83226061949;96,7250577844403;2020-08-22 04:55:51;"GMC-BQA-";"GMC-";"BQA-";"102"
"413";"GMC-BQA-100";TRUE;3047,01942053714;100,747960505768;2016-02-22 09:30:04;"GMC-BQA-";"GMC-";"BQA-";"100"
"302";"VOLVBQA-100";TRUE;3668,5000670602;91,2227556628781;2019-03-04 06:08:31;"VOLVBQA-";"VOLV";"BQA-";"100"
"1939";"GMC-CLO-103";TRUE;2693,79618043234;100,63702577562;2017-04-23 10:28:37;"GMC-CLO-";"GMC-";"CLO-";"103"
"129";"GMC-CLO-100";TRUE;3365,30690095832;96,9296390157773;2023-02-04 09:48:29;"GMC-CLO-";"GMC-";"CLO-";"100"
"1333";"GMC-CLO-102";TRUE;2673,39240567008;86,6971866054527;2040-02-11 09:42:55;"GMC-CLO-";"GMC-";"CLO-";"102"
"820";"MERCBOG-101";TRUE;3311,15502179908;98,2145791371737;2022-12-22 05:56:51;"MERCBOG-";"MERC";"BOG-";"101"
"1536";"VOLVBQA-102";TRUE;2800,74239842305;111,733693479533;2016-07-29 08:06:42;"VOLVBQA-";"VOLV";"BQA-";"102"
"2362";"GMC-MED-103";TRUE;3451,28804359749;114,243662319301;2018-08-23 10:34:49;"GMC-MED-";"GMC-";"MED-";"103"
"741";"GMC-CLO-101";TRUE;2862,85957673811;79,9789367432566;2017-07-14 03:49:08;"GMC-CLO-";"GMC-";"CLO-";"101"
"3262";"GMC-BOG-105";TRUE;3451,28804359749;114,243662319301;2019-06-15 04:22:07;"GMC-BOG-";"GMC-";"BOG-";"105"
"3154";"VOLVBOG-105";TRUE;3299,47226683615;68,9729919941848;2018-01-04 20:18:31;"VOLVBOG-";"VOLV";"BOG-";"105"
"361";"MERCBQA-100";TRUE;2951,8989400231;102,869391701929;2018-05-10 13:06:31;"MERCBQA-";"MERC";"BQA-";"100"
"2092";"GMC-BOG-103";TRUE;2760,77058612943;107,530164956805;2016-01-11 22:55:18;"GMC-BOG-";"GMC-";"BOG-";"103"
"3473";"VOLVMED-105";TRUE;3078,17884203001;83,8115568487274;2016-01-01 23:56:17;"VOLVMED-";"VOLV";"MED-";"105"
"1192";"GMC-MED-101";TRUE;2760,77058612943;107,530164956805;2016-01-12 05:08:47;"GMC-MED-";"GMC-";"MED-";"101"
"3323";"VOLVBQA-105";TRUE;3078,17884203001;83,8115568487274;2015-12-31 20:45:37;"VOLVBQA-";"VOLV";"BQA-";"105"
"824";"MERCBOG-101";TRUE;3018,94046746395;100,155180440231;2022-09-22 05:59:54;"MERCBOG-";"MERC";"BOG-";"101"
"866";"GMC-BOG-101";TRUE;2750,26501998437;102,030524765256;2029-03-11 22:12:10;"GMC-BOG-";"GMC-";"BOG-";"101"
"3574";"GMC-MED-105";TRUE;3018,94046746395;100,155180440231;2019-02-12 10:30:16;"GMC-MED-";"GMC-";"MED-";"105"
"809";"MERCBOG-101";TRUE;3959,65465027015;86,3443275831915;2025-01-16 21:44:14;"MERCBOG-";"MERC";"BOG-";"101"
"2462";"MERCCLO-104";TRUE;3451,28804359749;114,243662319301;2021-11-04 09:00:00;"MERCCLO-";"MERC";"CLO-";"104"
"2681";"GMC-BOG-104";TRUE;2294,21829086763;105,881499047367;2032-09-27 22:30:49;"GMC-BOG-";"GMC-";"BOG-";"104"
"594";"GMC-MED-100";TRUE;2791,46011854034;95,6140691177978;2026-11-24 13:31:00;"GMC-MED-";"GMC-";"MED-";"100"
"783";"VOLVBOG-101";TRUE;2673,39240567008;86,6971866054527;2022-10-04 12:23:30;"VOLVBOG-";"VOLV";"BOG-";"101"
"2025";"MERCBOG-103";TRUE;3175,86565164881;102,417528115128;2022-07-18 22:49:23;"MERCBOG-";"MERC";"BOG-";"103"
"1973";"VOLVBOG-103";TRUE;3078,17884203001;83,8115568487274;2016-01-01 00:15:51;"VOLVBOG-";"VOLV";"BOG-";"103"
"407";"GMC-BQA-100";TRUE;3167,77603086998;91,5650485499193;2023-02-15 17:21:35;"GMC-BQA-";"GMC-";"BQA-";"100"
"958";"MERCBQA-101";TRUE;3868,47248096296;112,453942383267;2020-05-24 16:28:42;"MERCBQA-";"MERC";"BQA-";"101"
"2977";"GMC-MED-104";TRUE;2300,97478826975;97,2531367388604;2026-11-17 14:24:53;"GMC-MED-";"GMC-";"MED-";"104"
"1801";"VOLVCLO-103";TRUE;3168,96041928364;89,7210938493328;2016-11-25 14:58:34;"VOLVCLO-";"VOLV";"CLO-";"103"
"2786";"MERCBQA-104";TRUE;2800,74239842305;111,733693479533;2019-05-06 19:03:25;"MERCBQA-";"MERC";"BQA-";"104"
"2490";"MERCCLO-104";TRUE;3227,15644285144;99,11463563976;2025-03-15 16:22:56;"MERCCLO-";"MERC";"CLO-";"104"
"1362";"VOLVBOG-102";TRUE;3451,28804359749;114,243662319301;2016-04-15 22:55:18;"VOLVBOG-";"VOLV";"BOG-";"102"
"3557";"GMC-MED-105";TRUE;3167,77603086998;91,5650485499193;2027-09-02 09:32:01;"GMC-MED-";"GMC-";"MED-";"105"
"723";"GMC-CLO-101";TRUE;3078,17884203001;83,8115568487274;2016-05-16 06:48:56;"GMC-CLO-";"GMC-";"CLO-";"101"
"1546";"VOLVBQA-102";TRUE;3694,36722028799;102,657297675715;2018-07-25 10:56:15;"VOLVBQA-";"VOLV";"BQA-";"102"
"429";"GMC-BQA-100";TRUE;3365,30690095832;96,9296390157773;2019-05-20 18:08:20;"GMC-BQA-";"GMC-";"BQA-";"100"
"1608";"GMC-BQA-102";TRUE;3868,47248096296;112,453942383267;2032-01-08 21:04:25;"GMC-BQA-";"GMC-";"BQA-";"102"
