"";"Ref";"Event";"C_Corr";"C_Prev";"Date";"Category";"Cat1";"Cat2";"Cat3"
"1017";"GMC-BQA-101";TRUE;2473,77347017684;97,885636137364;2015-12-14 18:19:27;"GMC-BQA-";"GMC-";"BQA-";"101"
"701";"GMC-CLO-101";TRUE;3139,68507147478;106,810472999746;2016-12-22 00:48:26;"GMC-CLO-";"GMC-";"CLO-";"101"
"1286";"MERCCLO-102";TRUE;3059,51423711326;97,0418462059483;2018-02-11 07:45:44;"MERCCLO-";"MERC";"CLO-";"102"
"1006";"GMC-BQA-101";TRUE;2600,92982965727;96,27085660888;2016-01-03 05:41:56;"GMC-BQA-";"GMC-";"BQA-";"101"
"2157";"MERCBQA-103";TRUE;3193,77729180911;92,8766464428264;2017-04-14 00:48:35;"MERCBQA-";"MERC";"BQA-";"103"
"2586";"VOLVBOG-104";TRUE;3059,51423711326;97,0418462059483;2016-11-01 21:14:19;"VOLVBOG-";"VOLV";"BOG-";"104"
"174";"VOLVBOG-100";TRUE;3306,84344848293;105,231945830532;2017-07-14 21:59:46;"VOLVBOG-";"VOLV";"BOG-";"100"
"18";"VOLVCLO-100";TRUE;2844,82684817339;97,7029892573639;2019-02-02 07:43:30;"VOLVCLO-";"VOLV";"CLO-";"100"
"1588";"MERCBQA-102";TRUE;3987,33260965093;112,816337203092;2018-09-20 15:26:24;"MERCBQA-";"MERC";"BQA-";"102"
"1547";"VOLVBQA-102";TRUE;2976,05901263776;101,861783378763;2015-12-21 13:25:28;"VOLVBQA-";"VOLV";"BQA-";"102"
"368";"MERCBQA-100";TRUE;2844,82684817339;97,7029892573639;2019-11-25 05:57:18;"MERCBQA-";"MERC";"BQA-";"100"
"992";"MERCBQA-101";TRUE;2676,77975296733;119,439192884954;2019-05-31 07:12:06;"MERCBQA-";"MERC";"BQA-";"101"
"3310";"VOLVBQA-105";TRUE;3157,77221314961;102,03337558858;2015-09-28 06:43:48;"VOLVBQA-";"VOLV";"BQA-";"105"
"3089";"MERCCLO-105";TRUE;2817,36113673021;112,51754779717;2018-11-10 08:13:52;"MERCCLO-";"MERC";"CLO-";"105"
"1411";"MERCBOG-102";TRUE;2780,23800138891;93,1550617480588;2019-11-17 09:12:47;"MERCBOG-";"MERC";"BOG-";"102"
"3096";"MERCCLO-105";TRUE;2621,36350338874;100,898544788237;2018-01-03 00:43:49;"MERCCLO-";"MERC";"CLO-";"105"
"908";"VOLVBQA-101";TRUE;2886,44871709809;92,839747523155;2024-11-25 04:08:11;"VOLVBQA-";"VOLV";"BQA-";"101"
"3130";"GMC-CLO-105";TRUE;3161,42171110879;94,7718344989644;2016-09-12 09:11:36;"GMC-CLO-";"GMC-";"CLO-";"105"
"979";"MERCBQA-101";TRUE;3268,42843493495;99,1299573233089;2018-04-29 13:03:45;"MERCBQA-";"MERC";"BQA-";"101"
"2747";"VOLVBQA-104";TRUE;2976,05901263776;101,861783378763;2016-01-23 04:22:10;"VOLVBQA-";"VOLV";"BQA-";"104"
"1600";"MERCBQA-102";TRUE;3617,85654391908;115,088179295228;2019-06-08 16:19:47;"MERCBQA-";"MERC";"BQA-";"102"
"143";"GMC-CLO-100";TRUE;3396,06283179266;96,1996686669309;2015-12-31 15:13:03;"GMC-CLO-";"GMC-";"CLO-";"100"
"1517";"VOLVBQA-102";TRUE;2473,77347017684;97,885636137364;2015-11-06 11:20:31;"VOLVBQA-";"VOLV";"BQA-";"102"
"1983";"VOLVBOG-103";TRUE;2638,70663641054;115,178462595774;2041-11-11 17:01:30;"VOLVBOG-";"VOLV";"BOG-";"103"
"1820";"VOLVCLO-103";TRUE;3110,51821997206;90,5077778613335;2016-02-08 13:02:31;"VOLVCLO-";"VOLV";"CLO-";"103"
"362";"MERCBQA-100";TRUE;2855,36745300898;104,60129484181;2018-08-03 00:35:32;"MERCBQA-";"MERC";"BQA-";"100"
"2458";"MERCCLO-104";TRUE;2886,44871709809;92,839747523155;2019-04-14 23:15:06;"MERCCLO-";"MERC";"CLO-";"104"
"944";"VOLVBQA-101";TRUE;3071,50580714873;104,159309524752;2032-07-29 15:32:13;"VOLVBQA-";"VOLV";"BQA-";"101"
"1124";"MERCMED-101";TRUE;3306,84344848293;105,231945830532;2017-10-14 01:57:55;"MERCMED-";"MERC";"MED-";"101"
"3172";"VOLVBOG-105";TRUE;2763,96024509723;98,1092484109281;2018-11-10 10:47:51;"VOLVBOG-";"VOLV";"BOG-";"105"
"2206";"GMC-BQA-103";TRUE;2600,92982965727;96,27085660888;2015-11-24 22:10:13;"GMC-BQA-";"GMC-";"BQA-";"103"
"2111";"VOLVBQA-103";TRUE;2780,23800138891;93,1550617480588;2025-04-05 17:07:27;"VOLVBQA-";"VOLV";"BQA-";"103"
"1913";"GMC-CLO-103";TRUE;2795,57841714799;103,588267310502;2018-06-23 13:12:27;"GMC-CLO-";"GMC-";"CLO-";"103"
"1507";"VOLVBQA-102";TRUE;3193,77729180911;92,8766464428264;2015-09-26 03:31:08;"VOLVBQA-";"VOLV";"BQA-";"102"
"3336";"VOLVBQA-105";TRUE;3059,51423711326;97,0418462059483;2016-04-28 14:14:31;"VOLVBQA-";"VOLV";"BQA-";"105"
"2049";"MERCBOG-103";TRUE;3729,73313765104;106,498978252071;2021-01-29 02:08:07;"MERCBOG-";"MERC";"BOG-";"103"
"941";"VOLVBQA-101";TRUE;3591,5163264982;94,5561240760793;2019-04-30 20:23:44;"VOLVBQA-";"VOLV";"BQA-";"101"
"3550";"MERCMED-105";TRUE;3617,85654391908;115,088179295228;2017-08-19 13:44:17;"MERCMED-";"MERC";"MED-";"105"
"558";"GMC-MED-100";TRUE;2886,44871709809;92,839747523155;2022-09-19 22:05:26;"GMC-MED-";"GMC-";"MED-";"100"
"1047";"GMC-BQA-101";TRUE;2976,05901263776;101,861783378763;2016-03-09 15:15:46;"GMC-BQA-";"GMC-";"BQA-";"101"
"1973";"VOLVBOG-103";TRUE;3691,97567749973;112,196732293173;2017-06-19 07:24:48;"VOLVBOG-";"VOLV";"BOG-";"103"
